id;description;maximum;minimum;createdAt;updatedAt;dietGroupId;ingredientId
459;;100;;2017-12-05 18:36:11.136+00;2017-12-05 18:36:11.136+00;9;49
460;;100;;2017-12-05 18:36:12.35+00;2017-12-05 18:36:12.35+00;79;49
461;;100;;2017-12-05 18:36:13.221+00;2017-12-05 18:36:13.221+00;116;49
462;;100;;2017-12-05 18:36:14.441+00;2017-12-05 18:36:14.441+00;50;49
463;;100;;2017-12-05 18:36:15.83+00;2017-12-05 18:36:15.83+00;5;49
464;;100;;2017-12-05 18:36:16.702+00;2017-12-05 18:36:16.702+00;150;49
465;;100;;2017-12-05 18:36:17.574+00;2017-12-05 18:36:17.574+00;144;49
466;;100;;2017-12-05 18:36:18.964+00;2017-12-05 18:36:18.964+00;83;49
467;;100;;2017-12-05 18:36:20.188+00;2017-12-05 18:36:20.188+00;103;49
468;;100;;2017-12-05 18:36:21.059+00;2017-12-05 18:36:21.059+00;119;49
469;;100;;2017-12-05 18:36:21.935+00;2017-12-05 18:36:21.935+00;1;49
470;;100;;2017-12-05 18:36:22.632+00;2017-12-05 18:36:22.632+00;26;49
471;;100;;2017-12-05 18:36:23.846+00;2017-12-05 18:36:23.846+00;90;107
472;;100;;2017-12-05 18:36:25.767+00;2017-12-05 18:36:25.767+00;69;107
473;;100;;2017-12-05 18:36:27.853+00;2017-12-05 18:36:27.853+00;9;107
474;;100;;2017-12-05 18:36:29.071+00;2017-12-05 18:36:29.071+00;79;107
475;;100;;2017-12-05 18:36:29.949+00;2017-12-05 18:36:29.949+00;116;107
476;;100;;2017-12-05 18:36:31.168+00;2017-12-05 18:36:31.168+00;50;107
477;;100;;2017-12-05 18:36:32.572+00;2017-12-05 18:36:32.572+00;5;107
478;;100;;2017-12-05 18:36:33.45+00;2017-12-05 18:36:33.45+00;150;107
479;;100;;2017-12-05 18:36:34.33+00;2017-12-05 18:36:34.33+00;144;107
480;;100;;2017-12-05 18:36:35.721+00;2017-12-05 18:36:35.721+00;83;107
481;;100;;2017-12-05 18:36:36.936+00;2017-12-05 18:36:36.936+00;103;107
482;;100;;2017-12-05 18:36:37.81+00;2017-12-05 18:36:37.81+00;119;107
483;;100;;2017-12-05 18:36:38.679+00;2017-12-05 18:36:38.679+00;1;107
484;;100;;2017-12-05 18:36:39.378+00;2017-12-05 18:36:39.378+00;26;107
485;;80;;2017-12-05 18:36:40.623+00;2017-12-05 18:36:40.623+00;90;33
486;;80;;2017-12-05 18:36:42.543+00;2017-12-05 18:36:42.543+00;69;33
487;;80;;2017-12-05 18:36:44.641+00;2017-12-05 18:36:44.641+00;9;33
488;;80;;2017-12-05 18:36:45.861+00;2017-12-05 18:36:45.861+00;79;33
489;;80;;2017-12-05 18:36:46.733+00;2017-12-05 18:36:46.733+00;116;33
490;;80;;2017-12-05 18:36:47.955+00;2017-12-05 18:36:47.955+00;50;33
491;;80;;2017-12-05 18:36:49.346+00;2017-12-05 18:36:49.346+00;5;33
