id;description;name;userName;createdAt;updatedAt;ingredientGroupId
124;;Leu, As L-Leucine;;2017-12-05 18:18:19.52+00;2017-12-05 18:18:19.52+00;6
125;;Linseed (Flaxseed);;2017-12-05 18:18:22.859+00;2017-12-05 18:18:22.859+00;9
126;;Linseed Meal, Mech Extr.;;2017-12-05 18:18:23.833+00;2017-12-05 18:18:23.833+00;9
127;;Linseed Meal, Solv. Extr.;;2017-12-05 18:18:24.804+00;2017-12-05 18:18:24.804+00;9
128;;Lupin Meal, (Sweet, White);;2017-12-05 18:18:25.766+00;2017-12-05 18:18:25.766+00;9
129;;Lys, As L-Lysine;;2017-12-05 18:18:29.042+00;2017-12-05 18:18:29.042+00;6
130;;Lys, As L-Lysine, Liquid Concentrate;;2017-12-05 18:18:32.518+00;2017-12-05 18:18:32.518+00;6
131;;Lys, As L-Lysine Monohydrochloride;;2017-12-05 18:18:35.837+00;2017-12-05 18:18:35.837+00;6
132;;Lys, As L-Lysine Sulphate;;2017-12-05 18:18:39.133+00;2017-12-05 18:18:39.133+00;6
133;;Meat Meal, (Poultry/Swine By Product);;2017-12-05 18:18:42.672+00;2017-12-05 18:18:42.672+00;9
134;;Meat Meal, (Red-Meat By Product) Without Bones;;2017-12-05 18:18:46.104+00;2017-12-05 18:18:46.104+00;9
135;;Menhaden Oil;;2017-12-05 18:18:49.396+00;2017-12-05 18:18:49.396+00;5
136;;Met, As DL-Methionine;;2017-12-05 18:18:52.723+00;2017-12-05 18:18:52.723+00;6
137;;Met, As DL-Methionine Liquid Concentrate;;2017-12-05 18:18:56.148+00;2017-12-05 18:18:56.148+00;6
138;;Mg, As Magnesium Oxide (MgO);;2017-12-05 18:18:59.606+00;2017-12-05 18:18:59.606+00;10
139;;MgO (Magnesium Oxide);;2017-12-05 18:19:02.984+00;2017-12-05 18:19:02.984+00;1
140;;Millet, Grain;;2017-12-05 18:19:06.393+00;2017-12-05 18:19:06.393+00;7
141;;Mn, From Manganese Carbonate;;2017-12-05 18:19:09.828+00;2017-12-05 18:19:09.828+00;11
142;;Mn, From Manganese Chloride;;2017-12-05 18:19:13.21+00;2017-12-05 18:19:13.21+00;11
143;;Mn, From Manganese Chloride Tetrahydrate;;2017-12-05 18:19:16.608+00;2017-12-05 18:19:16.608+00;11
144;;Mn, From Manganese Oxide;;2017-12-05 18:19:20.013+00;2017-12-05 18:19:20.013+00;11
145;;Mn, From Manganese Sulphate Monohydrate;;2017-12-05 18:19:23.398+00;2017-12-05 18:19:23.398+00;11
