id;value;createdAt;updatedAt;ingredientId;nutrientId
259;2.42;2017-12-05 18:11:41.451+00;2017-12-05 18:11:41.451+00;4;17
260;2.07;2017-12-05 18:11:41.451+00;2017-12-05 18:11:41.451+00;4;18
261;1.81;2017-12-05 18:11:41.451+00;2017-12-05 18:11:41.451+00;4;19
262;2.14;2017-12-05 18:11:41.451+00;2017-12-05 18:11:41.451+00;4;20
263;91;2017-12-05 18:11:41.451+00;2017-12-05 18:11:41.451+00;4;1
264;2.25;2017-12-05 18:11:41.452+00;2017-12-05 18:11:41.452+00;4;5
265;2.25;2017-12-05 18:11:41.452+00;2017-12-05 18:11:41.452+00;4;6
266;92;2017-12-05 18:11:41.452+00;2017-12-05 18:11:41.452+00;4;11
267;204.6;2017-12-05 18:11:41.452+00;2017-12-05 18:11:41.452+00;4;60
268;4.3;2017-12-05 18:11:41.452+00;2017-12-05 18:11:41.452+00;4;71
269;0.8;2017-12-05 18:11:41.453+00;2017-12-05 18:11:41.453+00;4;46
270;0.36;2017-12-05 18:11:41.453+00;2017-12-05 18:11:41.453+00;4;32
273;0.66;2017-12-05 18:11:41.453+00;2017-12-05 18:11:41.453+00;4;33
274;1.42;2017-12-05 18:11:41.454+00;2017-12-05 18:11:41.454+00;4;53
275;1.38;2017-12-05 18:11:41.454+00;2017-12-05 18:11:41.454+00;4;34
276;0.15;2017-12-05 18:11:41.454+00;2017-12-05 18:11:41.454+00;4;7
277;0.72;2017-12-05 18:11:41.454+00;2017-12-05 18:11:41.454+00;4;35
278;0.95;2017-12-05 18:11:41.454+00;2017-12-05 18:11:41.454+00;4;22
279;1.99;2017-12-05 18:11:41.455+00;2017-12-05 18:11:41.455+00;4;21
280;0.95;2017-12-05 18:11:41.455+00;2017-12-05 18:11:41.455+00;4;23
281;0.859;2017-12-05 18:11:41.455+00;2017-12-05 18:11:41.455+00;4;24
282;1.63;2017-12-05 18:11:41.455+00;2017-12-05 18:11:41.455+00;4;25
283;1.5;2017-12-05 18:11:41.455+00;2017-12-05 18:11:41.455+00;4;26
284;1.75;2017-12-05 18:11:41.456+00;2017-12-05 18:11:41.456+00;4;27
285;0.23;2017-12-05 18:11:41.456+00;2017-12-05 18:11:41.456+00;4;37
286;0.32;2017-12-05 18:11:41.456+00;2017-12-05 18:11:41.456+00;4;50
287;25.47;2017-12-05 18:11:41.456+00;2017-12-05 18:11:41.456+00;4;61
288;2.5;2017-12-05 18:11:41.456+00;2017-12-05 18:11:41.456+00;4;64
289;0.15;2017-12-05 18:11:41.457+00;2017-12-05 18:11:41.457+00;4;54
290;40.5;2017-12-05 18:11:41.457+00;2017-12-05 18:11:41.457+00;4;10
291;0.66;2017-12-05 18:11:41.457+00;2017-12-05 18:11:41.457+00;4;29
292;1.18;2017-12-05 18:11:41.457+00;2017-12-05 18:11:41.457+00;4;30
293;1.21;2017-12-05 18:11:41.457+00;2017-12-05 18:11:41.457+00;4;28
294;34;2017-12-05 18:11:41.458+00;2017-12-05 18:11:41.458+00;4;72
295;0.22;2017-12-05 18:11:41.458+00;2017-12-05 18:11:41.458+00;4;51
296;27.6;2017-12-05 18:11:41.466+00;2017-12-05 18:11:41.466+00;4;73
297;0.82;2017-12-05 18:11:41.466+00;2017-12-05 18:11:41.466+00;4;39
299;18;2017-12-05 18:11:41.467+00;2017-12-05 18:11:41.467+00;4;3
300;0.26;2017-12-05 18:11:41.467+00;2017-12-05 18:11:41.467+00;4;55
