Group 1,Group 2,Feedstuff,Minimum,Maximum
,Horses,Urea 46% Nitrogen,0,0
,Rabbits,Urea 46% Nitrogen,0,0
,Dairy Cattle,Urea 46% Nitrogen,0,4
,Dogs,Urea 46% Nitrogen,0,0
,Alpacas and Llamas,Urea 46% Nitrogen,0,4
,Pigeons,Urea 46% Nitrogen,0,0
,Sheep,"Cottonseed, whole",0,120
,Beef Cattle,"Cottonseed, whole",0,120
,Poultry,"Cottonseed, whole",0,120
,Goats,"Cottonseed, whole",0,120
,Cats,"Cottonseed, whole",0,120
,Fish,"Cottonseed, whole",0,120
,Pigs,"Cottonseed, whole",0,120
,Horses,"Cottonseed, whole",0,120
,Rabbits,"Cottonseed, whole",0,120
,Dairy Cattle,"Cottonseed, whole",0,120
,Game,"Cottonseed, whole",0,120
,Dogs,"Cottonseed, whole",0,120
,Alpacas and Llamas,"Cottonseed, whole",0,120
,Pigeons,"Cottonseed, whole",0,120
,Sheep,Corn oil,0,100
,Beef Cattle,Corn oil,0,100
,Poultry,Corn oil,0,100
,Goats,Corn oil,0,100
,Cats,Corn oil,0,100
,Fish,Corn oil,0,100
,Pigs,Corn oil,0,100
,Horses,Corn oil,0,100
,Rabbits,Corn oil,0,100
,Dairy Cattle,Corn oil,0,100
,Game,Corn oil,0,100
,Dogs,Corn oil,0,100
,Alpacas and Llamas,Corn oil,0,100
,Pigeons,Corn oil,0,100
,Sheep,"Cottonseed o/c meal, mech extr",0,120
,Beef Cattle,"Cottonseed o/c meal, mech extr",0,120
,Poultry,"Cottonseed o/c meal, mech extr",0,120
,Goats,"Cottonseed o/c meal, mech extr",0,120
,Cats,"Cottonseed o/c meal, mech extr",0,120
,Fish,"Cottonseed o/c meal, mech extr",0,120
,Pigs,"Cottonseed o/c meal, mech extr",0,120
,Horses,"Cottonseed o/c meal, mech extr",0,120
,Rabbits,"Cottonseed o/c meal, mech extr",0,120
,Dairy Cattle,"Cottonseed o/c meal, mech extr",0,120
,Game,"Cottonseed o/c meal, mech extr",0,120
,Dogs,"Cottonseed o/c meal, mech extr",0,120
,Alpacas and Llamas,"Cottonseed o/c meal, mech extr",0,120
,Pigeons,"Cottonseed o/c meal, mech extr",0,120
,Sheep,Biuret,0,4
,Beef Cattle,Biuret,0,4
,Poultry,Biuret,0,0
,Goats,Biuret,0,4
,Cats,Biuret,0,0
,Fish,Biuret,0,0
,Pigs,Biuret,0,0
,Horses,Biuret,0,0
,Rabbits,Biuret,0,0
,Dairy Cattle,Biuret,0,4
,Dogs,Biuret,0,0
,Alpacas and Llamas,Biuret,0,4
,Pigeons,Biuret,0,0
,Sheep,Anchovy oil,0,100
,Beef Cattle,Anchovy oil,0,100
,Poultry,Anchovy oil,0,100
,Goats,Anchovy oil,0,100
,Cats,Anchovy oil,0,100
,Fish,Anchovy oil,0,100
,Pigs,Anchovy oil,0,100
,Horses,Anchovy oil,0,100
,Rabbits,Anchovy oil,0,100
,Dairy Cattle,Anchovy oil,0,100
,Game,Anchovy oil,0,100
,Dogs,Anchovy oil,0,100
,Alpacas and Llamas,Anchovy oil,0,100
,Pigeons,Anchovy oil,0,100
,Sheep,Herring oil,0,100
,Beef Cattle,Herring oil,0,100
,Poultry,Herring oil,0,100
,Goats,Herring oil,0,100
,Cats,Herring oil,0,100
,Fish,Herring oil,0,100
,Pigs,Herring oil,0,100
,Horses,Herring oil,0,100
,Rabbits,Herring oil,0,100
,Dairy Cattle,Herring oil,0,100
,Game,Herring oil,0,100
,Dogs,Herring oil,0,100
,Alpacas and Llamas,Herring oil,0,100
,Pigeons,Herring oil,0,100
,Sheep,"Na, Cl and I, as Iodized salt",4,4
,Beef Cattle,"Na, Cl and I, as Iodized salt",4,4
,Goats,"Na, Cl and I, as Iodized salt",4,4
,Cats,"Na, Cl and I, as Iodized salt",4,4
,Fish,"Na, Cl and I, as Iodized salt",4,4
,Pigs,"Na, Cl and I, as Iodized salt",4,4
,Horses,"Na, Cl and I, as Iodized salt",4,4
,Rabbits,"Na, Cl and I, as Iodized salt",4,4
,Dairy Cattle,"Na, Cl and I, as Iodized salt",4,4
,Game,"Na, Cl and I, as Iodized salt",4,4
,Dogs,"Na, Cl and I, as Iodized salt",4,4
,Alpacas and Llamas,"Na, Cl and I, as Iodized salt",4,4
,Pigeons,"Na, Cl and I, as Iodized salt",4,4
,Sheep,Cottonseed oil,0,100
,Beef Cattle,Cottonseed oil,0,100
,Poultry,Cottonseed oil,0,100
,Goats,Cottonseed oil,0,100
,Cats,Cottonseed oil,0,100
,Fish,Cottonseed oil,0,100
,Pigs,Cottonseed oil,0,100
,Horses,Cottonseed oil,0,100
,Rabbits,Cottonseed oil,0,100
,Dairy Cattle,Cottonseed oil,0,100
,Game,Cottonseed oil,0,100
,Dogs,Cottonseed oil,0,100
,Alpacas and Llamas,Cottonseed oil,0,100
,Pigeons,Cottonseed oil,0,100
,Sheep,"Molasses, sugarcane (syrup)",0,80
,Beef Cattle,"Molasses, sugarcane (syrup)",0,80
,Poultry,"Molasses, sugarcane (syrup)",0,80
,Goats,"Molasses, sugarcane (syrup)",0,80
