id;value;ingredientId;nutrientId
975;3.24;13;58
980;2.23;13;18
984;1;13;5
988;0.64;13;71
993;0.2;13;33
998;0;13;22
1003;0;13;26
1007;0.6;13;64
1012;0.36;13;30
1017;0.3;13;39
1021;0.2;13;47
1026;15.8;13;14
1031;0;13;65
1036;0;13;78
1045;0;14;31
1050;0;14;70
1055;0;14;58
1059;0;14;17
1065;0;14;6
1069;0;14;46
1074;0;14;53
1080;0;14;23
1084;0;14;27
1089;0;14;54
1092;0;14;30
1100;0;14;55
1105;0;14;13
1110;0;14;45
1115;0;14;76
1119;0;14;68
1121;0;15;9
1129;0;15;80
1134;0;15;57
1138;0;15;15
1143;99;15;1
1146;0;15;11
1147;0;15;60
1148;0;15;71
1149;0;15;32
1150;0;15;46
1151;0;15;59
1152;0;15;79
1153;0;15;53
1154;0;15;33
1155;0;15;34
1156;0;15;7
1157;0;15;35
1158;0;15;22
1159;0;15;21
1160;0;15;23
1161;0;15;24
1162;0;15;25
1163;0;15;26
1164;0;15;27
1165;0;15;37
1166;0;15;50
1167;0;15;61
1168;0;15;64
1169;0;15;54
1170;0;15;10
1171;0;15;29
1172;0;15;30
1173;0;15;72
1174;0;15;51
1175;0;15;28
1176;0;15;73
1177;0;15;39
1178;0;15;40
1179;0;15;3
1180;23.91;15;55
1181;0;15;62
1182;0;15;47
1183;0;15;41
1188;0;15;44
1193;0;15;77
1198;0;15;67
1203;0;16;52
1207;0;16;48
1212;0;16;56
1217;8.455;16;15
1222;8.455;16;20
1227;0;16;60
1231;0;16;79
1236;2.7;16;7
1241;8.983;16;24
1246;0;16;50
1251;5.185;16;29
1256;0;16;73
1265;0;16;62
1270;0;16;45
1275;0;16;76
1280;0;16;63
1284;0;17;8
1289;0;17;80
1294;0;17;57
1297;0;17;15
1302;0;17;20
1307;0;17;60
1312;0;17;79
1317;0;17;35
1322;0;17;25
1327;0;17;61
1332;0;17;30
1337;0;17;39
1342;0;17;47
1347;0;17;43
1351;0;17;65
1356;0;17;78
1364;0;18;36
1369;0;18;80
1374;0;18;57
1379;0;18;17
1384;0;18;5
1389;0;18;46
1394;0;18;53
1399;0;18;21
1404;0;18;27
1409;0;18;54
1414;0;18;72
1419;0;18;3
1424;0;18;12
1429;0;18;42
1433;0;18;75
1438;0;18;67
1445;0.17;19;36
1447;0.14;19;48
1451;1.47;19;49
1456;0.23;19;38
1461;3.94;19;19
1466;0;19;11
1471;0;19;59
1476;5.7;19;7
1481;3.399;19;24
1486;0.24;19;50
1491;1.54;19;29
1496;8.2;19;73
1501;0.16;19;62
1506;81.8;19;14
1512;2.92;19;74
1517;0;19;66
1524;0;20;52
1530;1006.9;20;70
1534;0;20;57
1540;3.35;20;18
1544;2.15;20;5
1549;0;20;46
1554;0.427;20;53
1559;2.5;20;21
1564;3.1;20;27
1569;0.029;20;54
