id;maximum;minimum;dietId;nutrientId
864;;0.74;22;43
868;16000;3300;22;65
873;2200;900;22;66
878;;0;23;36
882;;0;23;4
887;250;0;23;58
892;;0;23;71
898;;0;23;34
903;0.5;0.03;23;50
908;;0;23;51
913;;0;23;47
918;16000;0;23;65
923;2200;0;23;66
927;;0;24;36
932;;0;24;4
937;250;5;24;58
942;;1;24;71
947;1;0.4;24;53
952;;0.45;24;37
957;;25;24;72
962;3;0.2;24;62
969;3000;2;24;74
975;500;25;24;63
784;3;0.11;21;49
789;100;0;21;1
793;;0;21;46
798;;0;21;34
806;3;0.15;21;54
810;;0;21;39
815;;0;21;44
820;;0;21;75
825;;0;21;68
828;1.4;0.7;22;52
833;3;0.11;22;49
837;;0.25;22;38
841;500;60;22;60
846;;0.9;22;33
850;;1;22;35
855;;0;22;64
860;;0.78;22;39
865;;0.19;22;44
870;;0.003;22;77
876;500;50;22;63
879;0.6;0.3;23;52
883;;0;23;70
888;;0;23;38
893;;0;23;46
897;1;0.4;23;53
902;;0;23;37
907;;0;23;72
912;3;0;23;62
917;;0;23;45
922;;0;23;76
930;;1;24;31
935;3;0.11;24;49
938;;0.25;24;38
943;;0.56;24;46
948;;1.2;24;34
953;0.5;0.03;24;50
958;;0;24;51
964;;0.9;24;43
968;16000;1650;24;65
974;;3;24;76
797;1;0.4;21;53
802;;0;21;37
807;;0;21;72
812;3;0;21;62
817;;0;21;45
822;;0;21;76
827;;1.26;22;31
831;4.8;2.4;22;48
835;;0;22;56
839;100;0;22;1
843;;0.58;22;46
847;1;0.4;22;53
848;;1.42;22;34
852;;0.45;22;37
853;0.5;0.05;22;50
857;;20;22;72
858;;0;22;51
862;3;0.2;22;62
863;;0.59;22;47
867;;0.92;22;45
869;3000;2;22;74
872;;3;22;76
874;1000;25;22;67
877;;0;23;31
881;1.3;0.65;23;48
884;;0;23;56
886;21;20;23;2
889;100;0;23;1
891;500;0;23;60
894;;0;23;32
896;;0;23;33
899;;1;23;7
901;4.414;2.8;23;26
904;2000;0;23;61
906;3;0.15;23;54
909;;0;23;73
911;;0;23;55
914;;0;23;43
916;;0;23;42
920;;0;23;77
921;;0;23;75
924;1000;0;23;67
925;;0;23;68
928;;0.2;24;69
929;0.6;0.3;24;52
933;;1500;24;70
934;;0;24;56
939;100;0;24;1
941;500;80;24;60
945;;0.8;24;33
946;;0.3;24;32
949;;1;24;7
951;4.414;2.8;24;26
954;2000;60;24;61
956;3;0.15;24;54
959;;9;24;73
961;;0;24;55
963;;0.57;24;47
966;;0.7;24;42
967;;0.85;24;45
971;;3;24;75
973;1000;12;24;67
976;;1;24;68
977;;0;25;31
978;;0;25;36
979;0.9;0.45;25;52
980;;0;25;69
981;1.3;0.65;25;48
982;;0;25;4
983;;0;25;70
984;27;26;25;2
985;3;0.11;25;49
986;;0;25;56
987;250;0;25;58
988;;0;25;38
989;100;0;25;1
990;;0;25;5
991;500;0;25;60
992;;0;25;71
993;;0;25;46
994;;0;25;32
995;300;0;25;59
996;;0;25;33
997;1;0.4;25;53
998;;0;25;34
999;4.414;2.8;25;26
1000;;1;25;7
1001;;0;25;35
1002;;0;25;37
1003;0.5;0.03;25;50
1004;2000;0;25;61
1005;;0;25;64
1006;3;0.15;25;54
1007;;0;25;72
1008;;0;25;51
1009;;0;25;73
1010;;0;25;55
1011;;0;25;39
1012;3;0;25;62
1013;;0;25;47
1014;;0;25;43
1015;;0;25;44
1016;;0;25;42
1017;;0;25;45
1018;3000;0;25;74
1019;;0;25;77
1020;;0;25;75
1021;16000;0;25;65
1022;;0;25;76
1023;1000;0;25;67
1024;;0;25;68
1025;500;0;25;63
1026;2200;0;25;66
1027;;0;26;36
1028;;1.25;26;31
1029;;0.3;26;69
1034;3;0.11;26;49
1039;100;0;26;1
1045;300;0.3;26;59
1051;4.414;2.8;26;26
1056;;0;26;64
1061;;0;26;55
1066;;0.84;26;42
1071;;3.8;26;75
1076;500;25;26;63
1080;2.4;1.2;27;48
1085;;0;27;56
1090;;0;27;5
1094;;0;27;32
1099;;0;27;35
1104;;0;27;64
1109;;0;27;73
1114;;0;27;43
1119;3000;0;27;74
1124;1000;0;27;67
1130;;0.1;28;69
1135;;0;28;56
1140;;0;28;5
1145;;0.4;28;33
1149;;0.75;28;35
1153;;0;28;64
1158;;0;28;51
1166;;0.2;28;47
1171;;2.5;28;75
1176;500;88;28;63
1179;;0;29;69
1184;3;0.11;29;49
1189;100;0;29;1
1194;;0;29;32
1201;;0;29;35
1204;16;14;29;10
1210;;0;29;55
1215;;0;29;42
1218;16000;0;29;65
1223;4000;0;29;66
1228;;1;30;31
1233;3;0.11;30;49
1236;17;16;30;2
1241;;0.7;30;71
1245;300;1.1;30;59
1252;0.5;0.03;30;50
1257;;40;30;72
1262;3;0.2;30;62
1267;;0.85;30;45
1272;;3;30;76
1280;;0;31;69
1283;;0;31;70
1288;;0;31;38
1293;;0;31;46
1298;;0;31;34
1302;;0;31;37
1307;;0;31;72
1312;3;0;31;62
1317;;0;31;45
1323;;0;31;76
1331;5;3.25;32;48
1333;;1050;32;70
1337;250;4;32;58
1342;;0.35;32;71
1347;1;0.15;32;53
1356;;0.3;32;37
1361;0.4;0;32;55
1366;;0.36;32;42
1371;;3.6;32;75
1374;500;45;32;63
1031;1.3;0.65;26;48
1035;;0;26;56
1040;;0;26;5
1044;;0.36;26;32
1049;;1;26;7
1054;2000;60;26;61
1059;;12;26;73
1064;;1.02;26;43
1069;3000;2;26;74
1074;1000;12;26;67
1081;1.2;0.6;27;52
1086;17;16;27;2
1091;500;0;27;60
1096;;0;27;33
1101;;0;27;37
1106;27;24;27;10
1111;;0;27;55
1116;;0;27;42
1121;;0;27;75
1126;500;0;27;63
1128;;0.5;28;31
1133;;1900;28;70
1139;100;0;28;1
1144;;0.2;28;32
1151;;0.35;28;37
1154;3;0.44;28;54
1161;;0.4;28;39
1163;;0.4;28;43
1168;16000;8820;28;65
1175;;1;28;68
1181;1.2;0.6;29;52
1186;17;16;29;2
1190;500;0;29;60
1195;300;0;29;59
1199;4.414;2.53;29;26
1205;;0;29;64
1209;;0;29;73
1213;;0;29;43
1219;3000;0;29;74
1224;1000;0;29;67
1227;;0;30;36
1231;2.4;1.2;30;48
1235;;0;30;56
1239;100;0;30;1
1244;;0.3;30;32
1249;;0.75;30;35
1254;;0;30;64
1259;;9;30;73
1264;;0.9;30;43
1269;3000;2;30;74
1274;1000;44;30;67
1278;;0;31;36
1285;25;0;31;56
1290;500;0;31;60
1296;;0;31;33
1301;4.414;2.9;31;26
1306;3;0.15;31;54
1310;;0;31;39
1315;;0;31;44
1320;;0;31;77
1325;;0;31;68
1329;0.4;0.25;32;52
1335;25;0;32;56
1339;100;0;32;1
1345;300;0.01;32;59
1350;;0.69;32;35
1353;2000;20;32;61
1357;;0;32;51
1365;3;0.06;32;62
1369;3000;0.7;32;74
1373;;0.1;32;68
1379;;0;33;31
1383;;0;33;70
1386;250;0;33;58
1391;500;0;33;60
1396;;0;33;33
1401;;0;33;37
1406;18;16;33;10
1411;;0;33;55
1416;;0;33;42
1421;;0;33;75
1426;500;0;33;63
1429;;0;34;36
1435;;0;34;56
1438;;0.35;34;38
1443;;0.58;34;46
1448;;1.42;34;34
1452;2000;155;34;61
1457;;40;34;72
1462;3;0.2;34;62
1467;;0.92;34;45
1472;;4;34;76
1478;;0;35;36
1481;3.5;2.4;35;48
1488;;0;35;38
1491;;0;35;5
1497;1;0.4;35;53
1502;;0;35;37
1505;;0;35;72
1509;;0;35;73
1514;;0;35;43
1519;3000;0;35;74
1523;1000;0;35;67
1531;3.5;2.4;36;48
1536;21.5;20.5;36;2
1541;;0.32;36;38
1545;;0.5;36;33
1551;;0.38;36;37
1556;24;22;36;10
1561;;0;36;55
1566;;0.45;36;42
1571;;4;36;75
1576;500;88;36;63
1578;;0;37;36
1032;;0;26;4
1037;250;5;26;58
1042;;1;26;71
1047;1;0.4;26;53
1052;;0.5;26;37
1058;;30;26;72
1063;;0.58;26;47
1068;16000;1650;26;65
1073;2200;750;26;66
1078;;0;27;36
1083;;0;27;70
1087;250;0;27;58
1092;;0;27;71
1097;1;0.4;27;53
1102;0.5;0.03;27;50
1107;;0;27;72
1112;3;0;27;62
1117;;0;27;45
1122;;0;27;76
1127;;0;28;36
1132;17;15.5;28;4
1137;250;33;28;58
1142;;0.7;28;71
1147;1;0.4;28;53
1152;0.5;0.03;28;50
1157;;40;28;72
1162;3;0.2;28;62
1167;;0.5;28;45
1172;;3;28;76
